ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
DNAJB8-AS1,lncRNA,0.83,0.33,1.83,7.04,4.73,3.9
DNAJC27-AS1,lncRNA,14.17,11.71,3.03,10.1,21.7,30.98
DNAJC3-DT,lncRNA,0.18,8.13,7.31,4.71,41.16,70.01
DNAJC9-AS1,lncRNA,7.43,6.449999999999999,1.76,5.41,12.05,16.72
DNM1P35,lncRNA,9.36,2.7,6.92,6.45,76.35,42.75
DNM3-IT1,lncRNA,0.0,0.25,0.0,0.0,0.15,0.35
DNM3OS,lncRNA,158.51,50.97,50.17,55.42,376.71,79.64
DNMBP-AS1,lncRNA,0.41,2.65,2.45,1.72,8.14,6.94
DNMT3L-AS1,lncRNA,0.0,0.17,0.1,0.14,1.55,1.38
DOCK4-AS1,lncRNA,0.27,0.38,3.11,0.31,12.77,8.74
DOCK8-AS1,lncRNA,2.28,4.2,2.88,7.18,19.16,15.83
DOCK9-AS1,lncRNA,0.0,2.11,0.0,0.0,0.0,0.58
DOCK9-DT,lncRNA,0.0,1.0,0.94,2.0,5.57,13.26
DPH6-DT,lncRNA,2.94,0.55,2.82,5.38,15.29,8.78
DPP10-AS1,lncRNA,39.38,92.57,846.84,49.68,26.83,45.98
DPP10-AS2,lncRNA,1.17,0.0,0.0,0.0,1.5,1.33
DPP10-AS3,lncRNA,0.0,0.45,0.2,0.0,2.73,0.48
DPP4-DT,lncRNA,0.27,0.52,4.02,3.38,4.39,3.54
DPP9-AS1,lncRNA,5.1,3.9,3.52,2.77,15.86,12.47
DPYD-AS1,lncRNA,0.17,4.46,0.5,1.53,1.77,1.97
DPYD-AS2,lncRNA,0.0,0.0,0.0,0.0,1.85,4.07
DPYD-IT1,lncRNA,0.0,0.0,0.0,0.08,0.0,0.0
DRAIC,lncRNA,22.9,21.07,31.15,29.61,90.58,89.41
DSCAM-AS1,lncRNA,2.0,13.31,4.23,15.65,8.52,12.78
DSCAM-IT1,lncRNA,0.0,0.23,0.07,4.2,9.82,4.51
DSCAS,lncRNA,0.0,1.4,1.12,0.0,4.79,1.09
DSCR10,lncRNA,0.0,0.09,0.17,0.33,1.72,0.38
DSCR4,lncRNA,0.39,3.83,1.04,5.41,2.34,2.23
