ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
AC005041.3,lncRNA,0,1,1,3,5,2
AC005041.4,lncRNA,1,2,1,2,16,6
AC005041.5,lncRNA,0,1,2,0,6,6
AC005042.1,lncRNA,0,1,0,1,1,1
AC005046.1,lncRNA,0,0,0,1,1,1
AC005050.1,lncRNA,0,1,0,1,3,6
AC005050.2,lncRNA,0,0,0,0,2,2
AC005050.3,lncRNA,10,32,15,19,41,44
AC005052.2,lncRNA,1,1,1,0,7,8
AC005062.1,lncRNA,6,4,3,4,5,4
AC005064.1,lncRNA,9,7,14,71,25,22
AC005070.3,lncRNA,1,2,0,1,0,0
AC005071.1,lncRNA,0,0,0,2,0,1
AC005072.1,lncRNA,1,2,0,5,3,3
AC005076.1,lncRNA,4,3,2,0,7,8
AC005081.1,lncRNA,0,1,1,4,8,5
AC005082.1,lncRNA,2,4,3,4,7,12
AC005082.2,lncRNA,0,1,0,1,2,2
AC005083.1,lncRNA,0,0,0,0,1,1
AC005086.2,lncRNA,2,0,1,0,7,7
AC005089.1,lncRNA,5,6,1,8,5,3
AC005090.1,lncRNA,0,0,0,0,2,3
AC005096.1,lncRNA,0,0,0,6,3,1
AC005100.1,lncRNA,0,2,0,1,8,9
AC005100.2,lncRNA,1,0,3,2,6,3
AC005104.1,lncRNA,0,0,0,0,0,1
AC005104.2,lncRNA,0,0,0,0,1,2
AC005144.1,lncRNA,2,0,0,1,3,2
AC005153.1,lncRNA,0,2,0,2,3,3
AC005154.3,lncRNA,1,0,0,0,1,0
AC005154.4,lncRNA,1,0,0,0,4,3
AC005160.1,lncRNA,0,1,2,0,0,0
AC005162.1,lncRNA,0,0,0,2,4,7
AC005162.2,lncRNA,1,1,1,4,15,14
AC005165.1,lncRNA,7,5,6,4,25,28
AC005165.3,lncRNA,2,1,0,0,4,2
AC005180.1,lncRNA,0,0,1,0,2,0
AC005180.2,lncRNA,0,3,0,5,2,3
AC005197.1,lncRNA,6,4,0,0,1,3
AC005208.1,lncRNA,0,2,0,0,5,1
AC005209.1,lncRNA,0,0,0,1,2,3
AC005220.1,lncRNA,1,2,0,2,3,6
AC005224.1,lncRNA,2,7,4,5,38,38
AC005224.2,lncRNA,2,0,2,16,12,7
AC005224.3,lncRNA,9,25,10,11,23,26
AC005225.1,lncRNA,0,1,0,0,1,3
AC005225.2,lncRNA,1,5,1,6,9,12
AC005225.3,lncRNA,2,0,0,0,1,0
AC005229.3,lncRNA,5,2,4,4,24,30
AC005229.4,lncRNA,0,0,0,1,3,4
AC005232.1,lncRNA,0,1,0,0,2,2
AC005234.1,lncRNA,2,1,0,2,0,0
AC005234.2,lncRNA,0,0,3,1,9,6
AC005244.2,lncRNA,0,0,0,0,0,1
AC005252.4,lncRNA,5,4,0,1,0,0
AC005253.1,lncRNA,1,2,6,1,17,11
AC005253.2,lncRNA,0,2,0,0,5,4
AC005256.1,lncRNA,1,3,1,3,6,7
AC005258.2,lncRNA,1,1,4,3,17,14
AC005261.1,lncRNA,0,5,3,4,3,1
AC005261.2,lncRNA,7,10,5,4,7,13
AC005261.3,lncRNA,0,0,1,0,1,0
AC005262.2,lncRNA,1,0,2,0,4,3
AC005264.1,lncRNA,1,4,2,3,7,9
AC005277.1,lncRNA,0,0,0,0,1,0
AC005280.1,lncRNA,2,1,1,2,12,13
AC005280.2,lncRNA,3,11,2,4,14,10
AC005280.3,lncRNA,1,3,0,1,2,3
AC005281.1,lncRNA,0,1,0,1,4,5
AC005288.1,lncRNA,1,1,0,1,6,5
AC005291.1,lncRNA,0,2,0,0,0,0
AC005291.2,lncRNA,0,0,0,1,1,1
AC005293.1,lncRNA,0,1,1,0,11,6
AC005301.1,lncRNA,1,0,1,1,2,1
AC005301.2,lncRNA,0,1,0,1,2,4
AC005303.1,lncRNA,0,0,0,2,4,3
AC005304.1,lncRNA,0,0,0,0,1,1
AC005304.2,lncRNA,2,0,0,0,6,7
AC005304.3,lncRNA,0,0,1,0,0,1
AC005306.1,lncRNA,1,1,2,1,7,4
AC005307.1,lncRNA,0,0,0,2,6,6
AC005323.1,lncRNA,0,1,0,1,3,1
AC005324.1,lncRNA,0,2,0,0,0,1
AC005324.4,lncRNA,1,0,0,0,1,0
AC005329.1,lncRNA,1,4,2,4,17,22
AC005329.2,lncRNA,0,0,3,1,2,1
AC005329.3,lncRNA,1,1,2,2,14,15
AC005330.1,lncRNA,0,3,3,2,7,3
AC005332.1,lncRNA,4,3,4,5,11,15
AC005332.2,lncRNA,0,1,0,0,1,0
AC005332.3,lncRNA,0,0,0,1,0,0
AC005332.5,lncRNA,2,3,5,9,16,11
AC005332.6,lncRNA,3,2,3,2,13,13
AC005339.1,lncRNA,0,0,0,0,2,2
AC005342.1,lncRNA,0,0,1,3,0,2
AC005342.2,lncRNA,0,1,1,9,11,5
AC005343.1,lncRNA,0,3,3,13,3,15
AC005343.4,lncRNA,0,0,0,0,2,0
AC005344.1,lncRNA,0,0,0,0,0,1
AC005355.1,lncRNA,0,0,3,0,3,2
AC005358.1,lncRNA,0,2,2,5,11,6
AC005363.2,lncRNA,0,1,0,0,1,1
AC005379.1,lncRNA,0,0,1,0,1,2
AC005381.1,lncRNA,0,0,0,0,3,2
AC005387.1,lncRNA,1,3,0,1,1,1
AC005387.2,lncRNA,0,0,0,0,2,0
AC005392.1,lncRNA,0,2,0,0,0,1
AC005392.3,lncRNA,0,0,0,0,0,1
AC005393.1,lncRNA,0,0,0,0,2,1
AC005394.1,lncRNA,1,0,0,1,1,1
AC005394.2,lncRNA,0,1,1,4,7,8
AC005400.1,lncRNA,2,4,0,5,7,4
AC005410.2,lncRNA,0,0,0,0,0,1
AC005414.1,lncRNA,2,2,1,5,7,5
AC005476.2,lncRNA,3,2,1,4,5,6
AC005479.1,lncRNA,1,2,2,2,2,3
AC005479.2,lncRNA,0,4,0,0,0,2
AC005480.1,lncRNA,5,3,1,7,4,6
AC005481.1,lncRNA,13,23,24,15,322,437
AC005482.1,lncRNA,0,0,0,1,4,2
AC005486.1,lncRNA,0,0,0,0,1,0
AC005487.1,lncRNA,7,4,4,12,55,65
AC005495.1,lncRNA,0,0,0,1,0,0
AC005498.1,lncRNA,0,0,0,0,1,0
AC005498.2,lncRNA,8,4,18,3,3,4
AC005498.3,lncRNA,1,1,1,4,6,6
AC005515.1,lncRNA,0,0,0,0,0,1
AC005518.1,lncRNA,0,1,1,0,5,4
AC005519.1,lncRNA,1,4,0,5,3,1
AC005520.2,lncRNA,9,11,11,14,120,95
AC005520.3,lncRNA,0,0,0,0,2,0
AC005520.5,lncRNA,0,0,0,13,1,1
AC005522.1,lncRNA,2,5,5,1,6,9
AC005523.1,lncRNA,1,0,1,3,88,60
AC005523.2,lncRNA,3,7,9,15,45,47
AC005529.1,lncRNA,1,0,1,1,1,7
AC005532.1,lncRNA,1,1,1,0,6,7
AC005537.1,lncRNA,7,7,5,9,9,10
AC005538.1,lncRNA,0,0,1,1,1,0
AC005538.3,lncRNA,4,6,5,6,27,45
AC005540.1,lncRNA,0,1,2,2,6,11
AC005544.1,lncRNA,0,0,2,2,1,2
AC005544.2,lncRNA,1,0,0,0,2,7
AC005546.1,lncRNA,0,0,0,1,1,1
AC005548.1,lncRNA,1,0,0,1,7,4
AC005549.1,lncRNA,1,1,3,0,3,4
AC005550.1,lncRNA,0,0,0,0,1,0
AC005550.2,lncRNA,0,2,2,5,11,16
AC005552.1,lncRNA,2,2,3,1,4,3
AC005562.1,lncRNA,15,18,2,19,23,23
AC005580.1,lncRNA,0,1,2,2,3,4
AC005586.1,lncRNA,1,1,1,1,5,8
AC005592.2,lncRNA,0,0,0,2,1,2
AC005594.1,lncRNA,1,2,3,0,3,2
AC005597.1,lncRNA,1,4,0,2,39,44
AC005599.1,lncRNA,2,1,1,3,6,6
AC005606.1,lncRNA,0,1,0,0,0,1
AC005606.2,lncRNA,3,1,2,1,7,8
AC005609.1,lncRNA,1,1,2,1,14,10
AC005609.2,lncRNA,0,0,0,0,1,1
AC005609.3,lncRNA,0,0,0,0,1,1
AC005609.5,lncRNA,3,3,4,7,16,21
AC005614.1,lncRNA,1,1,1,4,8,7
AC005614.2,lncRNA,0,0,0,1,1,1
AC005616.1,lncRNA,2,0,0,2,1,0
AC005618.1,lncRNA,1,5,2,4,6,8
AC005618.2,lncRNA,1,0,0,0,0,2
AC005618.3,lncRNA,0,0,1,0,7,2
AC005618.4,lncRNA,1,3,1,0,5,3
AC005625.1,lncRNA,2,2,2,0,19,20
AC005632.3,lncRNA,0,0,0,0,5,3
AC005632.5,lncRNA,0,0,0,2,1,2
AC005632.6,lncRNA,2,9,1,1,9,6
AC005670.1,lncRNA,1,1,0,0,3,1
AC005670.3,lncRNA,9,12,20,29,170,103
AC005674.1,lncRNA,2,2,5,7,17,22
AC005682.2,lncRNA,2,0,1,0,4,3
AC005692.1,lncRNA,0,3,1,0,1,0
AC005692.2,lncRNA,0,1,0,0,1,2
AC005692.3,lncRNA,6,3,1,1,8,12
AC005695.1,lncRNA,4,6,6,10,43,18
AC005695.3,lncRNA,2,0,2,2,7,3
AC005696.1,lncRNA,0,6,6,0,3,3
AC005696.2,lncRNA,0,0,0,0,1,1
AC005696.3,lncRNA,0,0,0,0,1,0
AC005696.4,lncRNA,4,5,5,3,24,11
AC005697.2,lncRNA,0,1,0,0,1,3
AC005697.3,lncRNA,0,0,0,0,1,2
AC005699.1,lncRNA,0,2,0,7,4,7
AC005703.1,lncRNA,1,0,1,0,1,1
AC005703.2,lncRNA,0,0,0,0,1,0
AC005703.3,lncRNA,1,0,0,0,1,0
AC005703.6,lncRNA,2,3,1,0,4,3
AC005722.3,lncRNA,3,2,3,2,9,9
AC005722.4,lncRNA,0,0,0,0,1,0
AC005725.1,lncRNA,0,2,2,2,1,4
AC005726.2,lncRNA,0,2,1,0,3,4
AC005726.3,lncRNA,0,1,0,2,1,1
AC005726.4,lncRNA,1,0,1,2,0,0
