"ID","logFC","logCPM","LR","PValue","FDR"
"AC112220.2",0.0140400727011709,4.43768793572555,0.000198713236052583,0.988752938334852,1
"AC022447.6",0.00694788630242727,4.09115855281557,0.000195109192863363,0.988855391791533,1
"AL606489.1",-0.0105700922045973,4.3456473118289,0.000192963333453283,0.988916842855309,1
"AC091153.4",0.0211581649536874,3.55766011668049,0.000191325069011761,0.988963988295261,1
"AL031846.2",0.00841877172181896,5.01770529500136,0.000186843182642171,0.989094008228803,1
"AC114401.1",-0.0223836975901814,3.92268856638768,0.000185430620106786,0.989135309352891,1
"AL592429.2",-0.00744666275130776,6.8935551280443,0.000184957257381657,0.989149184915852,1
"AC092070.3",-0.0247893181294151,3.89715158410769,0.000184744695578498,0.98915542146422,1
"LINC00707",0.00789292134517299,5.65305987048705,0.000180758339980214,0.989273052624549,1
"AL035530.1",-0.0102664031871346,3.82104502601412,0.000178020509848498,0.989354594811248,1
"AL359258.2",-0.011054799983506,4.42574752972338,0.000175546052637809,0.989428834080791,1
"LINC01427",0.00952217698513209,4.57770728174668,0.000171686758746237,0.989545674079701,1
"AC007637.1",-0.33744503457033,3.82934094686838,0.000170721026352061,0.989575116486121,1
"FAM193B-DT",-0.33744503457033,3.82934094686838,0.000170721026352061,0.989575116486121,1
"AC092143.3",-0.0103329741267262,3.92317349005114,0.000162033128229488,0.989843823456026,1
"AL133325.2",-0.0103329741267262,3.92317349005114,0.000162033128229488,0.989843823456026,1
"DNAH17-AS1",-0.00669915959855609,5.99338811031207,0.000161450853097822,0.989862087290825,1
"AL132857.1",0.00892364173247581,4.63928960358523,0.000160907663558363,0.98987915487454,1
"AC005280.1",0.00754054022746465,4.53275428134088,0.000160386715380767,0.989895550699817,1
"AC020915.2",0.0108827672761757,4.08701360197171,0.000159189930295622,0.989933318333807,1
"AC062029.1",-0.00927623861399672,4.59016448899571,0.000157203290581442,0.989996326723504,1
"TMEM202-AS1",-0.00674128216412813,5.49901182148533,0.000150635241090824,0.99020752544612,1
"AC093677.3",0.00958666524787398,4.26806806186753,0.000149241318276649,0.990252936454375,1
"AC005828.1",0.0270013508944642,3.58424547921298,0.000144431296856151,0.99041128826368,1
"AC126614.1",0.0270013508944642,3.58424547921298,0.000144431296856151,0.99041128826368,1
"AC104002.3",-0.00734024508057722,4.16032834983386,0.00014402323178353,0.990424842797855,1
"MIR924HG",0.00635295709098032,6.08419541646086,0.000141875460355823,0.990496503170608,1
"AC002529.1",0.00772288397806364,4.58977459337974,0.000139897725880744,0.990562971581794,1
"ABCC5-AS1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC004884.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC004946.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC005996.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC010760.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC011491.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC015853.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC025030.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC026336.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC051619.5",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC069234.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC073370.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC080078.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC090651.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC090707.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC091493.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC092598.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC092832.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC096677.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC103843.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC104996.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC108125.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC109462.3",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC110296.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC112242.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC116038.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC122134.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC135068.4",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC139720.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AC211486.5",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AF241725.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL008730.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL021368.5",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL035693.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL136164.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL136501.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL138478.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL158198.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL161757.2",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL162726.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL355140.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL356309.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
"AL365356.1",0.0573267050514358,3.04640259268388,0.000139351088085604,0.990581425939739,1
