ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
LINC02159,lncRNA,1.0,1.0,0.0,0.0,2.0,5.0
LINC02160,lncRNA,1.0,9.0,0.0,0.0,16.0,12.0
LINC02161,lncRNA,0.0,0.0,0.0,1.0,0.0,0.0
LINC02162,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
LINC02163,lncRNA,0.0,0.0,0.0,0.0,1.0,2.0
LINC02164,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
LINC02165,lncRNA,1.0,0.0,2.0,1.0,1.0,1.0
LINC02166,lncRNA,0.0,0.0,1.0,1.0,1.0,1.0
LINC02167,lncRNA,0.0,0.5,1.0,0.0,10.5,3.5
LINC02168,lncRNA,0.0,0.0,0.0,0.0,2.0,1.0
LINC02169,lncRNA,0.0,1.0,0.0,0.0,1.0,1.0
LINC02171,lncRNA,0.0,0.0,3.0,0.0,6.0,2.0
LINC02172,lncRNA,0.0,0.0,0.0,0.0,0.0,3.0
LINC02174,lncRNA,3.0,0.0,0.0,0.0,5.0,1.0
LINC02175,lncRNA,4.0,5.0,5.0,8.0,11.0,10.0
LINC02176,lncRNA,0.0,0.0,2.0,0.0,4.0,5.0
LINC02177,lncRNA,0.0,2.0,0.0,3.0,7.0,7.0
LINC02178,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
LINC02179,lncRNA,1.0,3.0,1.0,1.0,12.0,10.0
LINC02180,lncRNA,1.0,2.0,1.0,0.0,3.0,7.0
LINC02181,lncRNA,3.0,3.0,6.0,10.0,15.0,8.0
LINC02182,lncRNA,0.0,1.5,1.0,2.0,8.5,4.0
LINC02183,lncRNA,0.0,4.0,0.0,2.0,2.0,2.0
LINC02184,lncRNA,0.0,0.0,0.0,1.0,2.0,1.0
LINC02185,lncRNA,2.0,2.0,1.0,1.0,8.0,6.0
LINC02186,lncRNA,0.0,1.0,0.0,1.0,1.0,2.0
LINC02188,lncRNA,16.0,10.0,19.0,17.0,67.0,54.0
LINC02189,lncRNA,1.0,2.0,0.0,0.0,2.0,0.0
LINC02190,lncRNA,0.0,0.0,0.0,2.0,2.0,1.0
LINC02191,lncRNA,0.0,0.0,0.0,0.0,1.0,3.0
LINC02192,lncRNA,0.0,0.0,1.0,2.0,0.0,1.0
LINC02193,lncRNA,1.0,1.0,1.0,0.0,2.0,5.0
LINC02194,lncRNA,3.0,2.0,0.0,1.0,12.0,11.0
LINC02196,lncRNA,0.0,0.0,0.0,1.0,8.0,2.0
LINC02197,lncRNA,2.0,2.0,0.0,0.0,6.0,13.0
LINC02198,lncRNA,1.0,0.0,1.0,0.0,2.0,0.0
LINC02199,lncRNA,2.0,5.0,2.0,15.0,22.0,25.0
LINC02200,lncRNA,5.0,9.0,2.0,4.0,20.0,22.0
LINC02201,lncRNA,0.0,1.0,0.0,1.0,6.0,5.0
LINC02202,lncRNA,0.0,2.0,0.0,0.0,4.0,5.0
LINC02204,lncRNA,0.0,0.0,1.0,2.0,10.0,8.0
LINC02205,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
LINC02206,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
LINC02207,lncRNA,1.5,3.5,3.0,0.5,7.5,8.0
LINC02208,lncRNA,3.0,2.0,1.0,4.0,4.0,9.0
LINC02209,lncRNA,0.0,1.0,0.0,0.0,3.0,4.0
LINC02211,lncRNA,2.0,1.0,1.0,1.5,6.5,5.5
LINC02212,lncRNA,2.0,0.0,3.0,3.0,15.0,14.0
LINC02213,lncRNA,0.0,0.0,0.0,2.0,1.0,1.0
LINC02214,lncRNA,0.0,0.0,0.0,0.0,0.0,3.0
LINC02216,lncRNA,0.0,1.0,0.0,0.5,5.5,2.5
LINC02217,lncRNA,2.0,1.0,2.0,0.0,18.0,12.0
LINC02219,lncRNA,0.0,1.0,0.0,0.0,1.0,1.0
LINC02220,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
LINC02221,lncRNA,0.0,0.0,0.0,1.0,1.0,0.0
LINC02222,lncRNA,0.0,0.0,0.0,0.0,7.0,1.0
LINC02223,lncRNA,3.0,2.0,1.0,6.0,11.0,10.0
LINC02224,lncRNA,0.0,6.0,2.0,1.0,0.0,3.0
LINC02225,lncRNA,0.0,0.0,0.0,0.0,4.0,0.0
LINC02226,lncRNA,1.0,0.0,0.0,0.0,3.0,3.0
LINC02227,lncRNA,11.0,23.0,24.0,19.0,228.0,202.0
LINC02228,lncRNA,0.5,1.0,2.0,1.0,4.5,6.5
LINC02230,lncRNA,0.0,0.0,0.0,0.0,2.0,0.0
LINC02231,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
LINC02232,lncRNA,0.0,4.0,1.0,2.0,8.0,5.0
LINC02233,lncRNA,0.0,0.0,1.0,0.0,2.0,0.0
LINC02234,lncRNA,0.0,0.0,0.0,1.0,3.0,5.0
LINC02235,lncRNA,0.0,0.5,2.0,4.0,5.5,1.0
LINC02236,lncRNA,1.0,1.0,0.0,3.0,12.0,6.0
LINC02237,lncRNA,0.0,2.0,0.0,1.0,1.5,3.0
LINC02238,lncRNA,0.0,0.0,2.0,0.0,2.0,0.0
LINC02239,lncRNA,0.0,0.0,1.0,1.0,2.0,1.0
LINC02240,lncRNA,4.5,2.5,1.0,2.0,10.0,11.5
LINC02241,lncRNA,1.0,1.5,4.0,4.0,17.0,11.0
LINC02243,lncRNA,0.0,0.0,0.0,0.0,2.0,7.0
LINC02245,lncRNA,5.0,8.0,5.0,4.0,19.0,20.0
LINC02246,lncRNA,0.0,0.0,0.5,0.5,3.0,3.5
LINC02247,lncRNA,2.0,0.0,3.0,0.0,3.0,2.0
LINC02248,lncRNA,1.0,0.0,1.0,1.0,5.0,4.0
LINC02249,lncRNA,3.0,8.0,4.0,5.0,8.0,4.0
LINC02250,lncRNA,4.0,2.0,3.0,0.0,9.0,13.0
LINC02251,lncRNA,0.0,0.0,0.0,0.0,6.0,3.0
